Cadera_ps,Cadera_fex,Cadera_adab,MusloDerecho_ps,MusloDerecho_fex,MusloDerecho_adab,EspinilleraDerecha_ps,EspinilleraDerecha_fex,EspinilleraDerecha_adab,PieDerecha_ps,PieDerecha_fex,PieDerecha_adab,MusloIzquierdo_ps,MusloIzquierdo_fex,MusloIzquierdo_adab,EspinilleraIzquierda_ps,EspinilleraIzquierda_fex,EspinilleraIzquierda_adab,PieIzquierdo_ps,PieIzquierdo_fex,PieIzquierdo_adab
 0.48, 0.11, 0.04, 0.05,-0.52, 0.04, 0.50, 0.82,-0.20, 0.13,-0.42, 0.32, 0.20,-0.15,-0.14, 0.05, 0.15,-0.07, 0.08,-0.13, 0.24
 0.48, 0.11, 0.04, 0.05,-0.52, 0.04, 0.50, 0.82,-0.20, 0.14,-0.43, 0.32, 0.20,-0.15,-0.14, 0.05, 0.15,-0.07, 0.08,-0.13, 0.24
 0.48, 0.11, 0.04, 0.05,-0.52, 0.04, 0.50, 0.82,-0.20, 0.14,-0.43, 0.32, 0.20,-0.16,-0.14, 0.05, 0.15,-0.07, 0.08,-0.13, 0.24
 0.48, 0.11, 0.04, 0.05,-0.52, 0.04, 0.50, 0.82,-0.20, 0.14,-0.43, 0.32, 0.20,-0.16,-0.14, 0.05, 0.15,-0.07, 0.08,-0.13, 0.24
 0.48, 0.11, 0.04, 0.05,-0.52, 0.04, 0.50, 0.82,-0.20, 0.14,-0.43, 0.32, 0.20,-0.16,-0.14, 0.05, 0.16,-0.07, 0.08,-0.13, 0.24
 0.48, 0.11, 0.04, 0.05,-0.52, 0.04, 0.49, 0.83,-0.20, 0.14,-0.43, 0.32, 0.20,-0.16,-0.14, 0.05, 0.16,-0.07, 0.08,-0.13, 0.24
 0.48, 0.11, 0.04, 0.05,-0.53, 0.04, 0.49, 0.83,-0.20, 0.14,-0.43, 0.32, 0.20,-0.16,-0.14, 0.05, 0.16,-0.07, 0.08,-0.13, 0.24
 0.48, 0.12, 0.04, 0.05,-0.53, 0.04, 0.49, 0.83,-0.20, 0.14,-0.43, 0.32, 0.20,-0.16,-0.14, 0.05, 0.16,-0.07, 0.08,-0.13, 0.24
 0.48, 0.12, 0.04, 0.05,-0.53, 0.04, 0.49, 0.83,-0.20, 0.14,-0.43, 0.32, 0.20,-0.16,-0.14, 0.05, 0.16,-0.07, 0.08,-0.14, 0.24
 0.48, 0.12, 0.04, 0.05,-0.53, 0.04, 0.49, 0.83,-0.20, 0.14,-0.44, 0.32, 0.20,-0.16,-0.14, 0.05, 0.16,-0.07, 0.08,-0.14, 0.24
 0.48, 0.12, 0.04, 0.05,-0.53, 0.04, 0.49, 0.83,-0.20, 0.14,-0.44, 0.32, 0.21,-0.18,-0.15, 0.05, 0.16,-0.07, 0.08,-0.14, 0.24
 0.48, 0.12, 0.04, 0.05,-0.53, 0.04, 0.49, 0.83,-0.20, 0.14,-0.44, 0.32, 0.21,-0.18,-0.15, 0.04, 0.18,-0.05, 0.08,-0.14, 0.24
 0.48, 0.12, 0.04, 0.05,-0.53, 0.04, 0.49, 0.85,-0.20, 0.14,-0.44, 0.32, 0.21,-0.18,-0.15, 0.04, 0.18,-0.05, 0.08,-0.14, 0.24
 0.48, 0.12, 0.04, 0.07,-0.55, 0.03, 0.49, 0.85,-0.20, 0.14,-0.44, 0.32, 0.21,-0.18,-0.15, 0.04, 0.18,-0.05, 0.08,-0.14, 0.24
 0.50, 0.11, 0.03, 0.07,-0.55, 0.03, 0.49, 0.85,-0.20, 0.14,-0.44, 0.32, 0.21,-0.18,-0.15, 0.04, 0.18,-0.05, 0.08,-0.14, 0.24
 0.50, 0.11, 0.03, 0.07,-0.55, 0.03, 0.49, 0.85,-0.20, 0.14,-0.44, 0.32, 0.21,-0.18,-0.15, 0.04, 0.18,-0.05, 0.07,-0.15, 0.22
 0.50, 0.11, 0.03, 0.07,-0.55, 0.03, 0.49, 0.85,-0.20, 0.12,-0.45, 0.32, 0.21,-0.18,-0.15, 0.04, 0.18,-0.05, 0.07,-0.15, 0.22
 0.50, 0.11, 0.03, 0.07,-0.55, 0.03, 0.49, 0.85,-0.20, 0.12,-0.45, 0.32, 0.23,-0.25,-0.16, 0.04, 0.18,-0.05, 0.07,-0.15, 0.22
 0.50, 0.11, 0.03, 0.07,-0.55, 0.03, 0.49, 0.85,-0.20, 0.12,-0.45, 0.32, 0.23,-0.25,-0.16, 0.07, 0.31,-0.00, 0.07,-0.15, 0.22
 0.50, 0.11, 0.03, 0.07,-0.55, 0.03, 0.50, 0.90,-0.19, 0.12,-0.45, 0.32, 0.23,-0.25,-0.16, 0.07, 0.31,-0.00, 0.07,-0.15, 0.22
 0.50, 0.11, 0.03, 0.04,-0.54, 0.04, 0.50, 0.90,-0.19, 0.12,-0.45, 0.32, 0.23,-0.25,-0.16, 0.07, 0.31,-0.00, 0.07,-0.15, 0.22
 0.50, 0.09, 0.03, 0.04,-0.54, 0.04, 0.50, 0.90,-0.19, 0.12,-0.45, 0.32, 0.23,-0.25,-0.16, 0.07, 0.31,-0.00, 0.07,-0.15, 0.22
 0.50, 0.09, 0.03, 0.04,-0.54, 0.04, 0.50, 0.90,-0.19, 0.12,-0.45, 0.32, 0.23,-0.25,-0.16, 0.07, 0.31,-0.00, 0.05,-0.17, 0.18
 0.50, 0.09, 0.03, 0.04,-0.54, 0.04, 0.50, 0.90,-0.19, 0.08,-0.50, 0.33, 0.23,-0.25,-0.16, 0.07, 0.31,-0.00, 0.05,-0.17, 0.18
 0.50, 0.09, 0.03, 0.04,-0.54, 0.04, 0.50, 0.90,-0.19, 0.08,-0.50, 0.33, 0.20,-0.46,-0.20, 0.07, 0.31,-0.00, 0.05,-0.17, 0.18
 0.50, 0.09, 0.03, 0.04,-0.54, 0.04, 0.50, 0.90,-0.19, 0.08,-0.50, 0.33, 0.20,-0.46,-0.20, 0.17, 0.62, 0.13, 0.05,-0.17, 0.18
 0.50, 0.09, 0.03, 0.04,-0.54, 0.04, 0.30, 1.03,-0.21, 0.08,-0.50, 0.33, 0.20,-0.46,-0.20, 0.17, 0.62, 0.13, 0.05,-0.17, 0.18
 0.50, 0.09, 0.03, 0.05,-0.61, 0.03, 0.30, 1.03,-0.21, 0.08,-0.50, 0.33, 0.20,-0.46,-0.20, 0.17, 0.62, 0.13, 0.05,-0.17, 0.18
 0.51, 0.00, 0.00, 0.05,-0.61, 0.03, 0.30, 1.03,-0.21, 0.08,-0.50, 0.33, 0.20,-0.46,-0.20, 0.17, 0.62, 0.13, 0.05,-0.17, 0.18
