Cadera_ps,Cadera_fex,Cadera_adab,MusloDerecho_ps,MusloDerecho_fex,MusloDerecho_adab,EspinilleraDerecha_ps,EspinilleraDerecha_fex,EspinilleraDerecha_adab,PieDerecha_ps,PieDerecha_fex,PieDerecha_adab,MusloIzquierdo_ps,MusloIzquierdo_fex,MusloIzquierdo_adab,EspinilleraIzquierda_ps,EspinilleraIzquierda_fex,EspinilleraIzquierda_adab,PieIzquierdo_ps,PieIzquierdo_fex,PieIzquierdo_adab
 0.23, 0.41,-0.17, 0.05,-0.08,-0.17, 0.20,-0.02, 0.55, 0.16,-0.43,-0.13, 0.04, 0.05, 0.49, 0.41,-0.00, 0.56, 0.58,-0.52,-0.75
 0.23, 0.41,-0.17, 0.05,-0.08,-0.17, 0.20,-0.02, 0.55, 0.16,-0.43,-0.13, 0.04, 0.05, 0.49, 0.41,-0.00, 0.56, 0.58,-0.52,-0.75
 0.23, 0.41,-0.17, 0.05,-0.08,-0.17, 0.20,-0.02, 0.55, 0.17,-0.45,-0.12, 0.04, 0.05, 0.49, 0.41,-0.00, 0.56, 0.58,-0.52,-0.75
 0.23, 0.41,-0.17, 0.05,-0.08,-0.17, 0.20,-0.02, 0.55, 0.17,-0.45,-0.12, 0.04, 0.05, 0.49, 0.41,-0.00, 0.56, 0.58,-0.52,-0.75
 0.23, 0.41,-0.17, 0.07,-0.08,-0.16, 0.20,-0.02, 0.55, 0.17,-0.45,-0.12, 0.04, 0.05, 0.49, 0.41,-0.00, 0.56, 0.58,-0.52,-0.75
 0.23, 0.41,-0.17, 0.07,-0.08,-0.16, 0.20,-0.02, 0.55, 0.17,-0.45,-0.12, 0.04, 0.05, 0.49, 0.41,-0.00, 0.56, 0.58,-0.52,-0.75
 0.23, 0.41,-0.17, 0.07,-0.08,-0.16, 0.20,-0.02, 0.55, 0.17,-0.45,-0.12, 0.04, 0.05, 0.49, 0.41,-0.00, 0.56, 0.58,-0.52,-0.75
 0.23, 0.41,-0.17, 0.07,-0.08,-0.16, 0.20,-0.02, 0.55, 0.17,-0.45,-0.12, 0.04, 0.05, 0.49, 0.40,-0.00, 0.56, 0.58,-0.52,-0.75
 0.23, 0.41,-0.17, 0.07,-0.08,-0.16, 0.20,-0.02, 0.55, 0.17,-0.45,-0.12, 0.04, 0.05, 0.49, 0.40,-0.00, 0.56, 0.58,-0.52,-0.75
 0.23, 0.41,-0.17, 0.07,-0.08,-0.16, 0.20,-0.02, 0.55, 0.17,-0.45,-0.12, 0.04, 0.05, 0.49, 0.40,-0.00, 0.56, 0.53,-0.52,-0.75
 0.23, 0.41,-0.17, 0.07,-0.08,-0.16, 0.20,-0.02, 0.55, 0.17,-0.45,-0.12, 0.04, 0.05, 0.50, 0.40,-0.00, 0.56, 0.53,-0.52,-0.75
 0.23, 0.41,-0.17, 0.07,-0.08,-0.16, 0.20,-0.02, 0.55, 0.15,-0.45,-0.12, 0.04, 0.05, 0.50, 0.40,-0.00, 0.56, 0.53,-0.52,-0.75
 0.23, 0.41,-0.17, 0.07,-0.08,-0.17, 0.20,-0.02, 0.55, 0.15,-0.45,-0.12, 0.04, 0.05, 0.50, 0.40,-0.00, 0.56, 0.53,-0.52,-0.75
 0.23, 0.41,-0.17, 0.07,-0.08,-0.17, 0.20,-0.02, 0.55, 0.15,-0.45,-0.12, 0.04, 0.05, 0.50, 0.41, 0.01, 0.56, 0.53,-0.52,-0.75
 0.22, 0.41,-0.17, 0.07,-0.08,-0.17, 0.20,-0.02, 0.55, 0.15,-0.45,-0.12, 0.04, 0.05, 0.50, 0.41, 0.01, 0.56, 0.53,-0.52,-0.75
 0.22, 0.41,-0.17, 0.07,-0.08,-0.17, 0.20,-0.02, 0.55, 0.15,-0.45,-0.12, 0.04, 0.05, 0.50, 0.41, 0.01, 0.56, 0.52,-0.53,-0.76
 0.22, 0.41,-0.17, 0.07,-0.08,-0.17, 0.20,-0.02, 0.55, 0.15,-0.45,-0.12, 0.05, 0.06, 0.51, 0.41, 0.01, 0.56, 0.52,-0.53,-0.76
 0.22, 0.41,-0.17, 0.07,-0.08,-0.17, 0.20,-0.02, 0.55, 0.13,-0.44,-0.12, 0.05, 0.06, 0.51, 0.41, 0.01, 0.56, 0.52,-0.53,-0.76
 0.22, 0.41,-0.17, 0.06,-0.07,-0.17, 0.20,-0.02, 0.55, 0.13,-0.44,-0.12, 0.05, 0.06, 0.51, 0.41, 0.01, 0.56, 0.52,-0.53,-0.76
 0.22, 0.41,-0.17, 0.06,-0.07,-0.17, 0.20,-0.02, 0.55, 0.13,-0.44,-0.12, 0.05, 0.06, 0.51, 0.41, 0.01, 0.55, 0.52,-0.53,-0.76
 0.22, 0.40,-0.18, 0.06,-0.07,-0.17, 0.20,-0.02, 0.55, 0.13,-0.44,-0.12, 0.05, 0.06, 0.51, 0.41, 0.01, 0.55, 0.52,-0.53,-0.76
 0.22, 0.40,-0.18, 0.06,-0.07,-0.17, 0.20,-0.02, 0.55, 0.13,-0.44,-0.12, 0.05, 0.06, 0.51, 0.41, 0.01, 0.55, 0.56,-0.54,-0.76
 0.22, 0.40,-0.18, 0.06,-0.07,-0.17, 0.20,-0.02, 0.55, 0.13,-0.44,-0.12, 0.05, 0.06, 0.51, 0.41, 0.01, 0.55, 0.56,-0.54,-0.76
 0.22, 0.40,-0.18, 0.06,-0.07,-0.17, 0.20,-0.02, 0.55, 0.13,-0.44,-0.12, 0.06, 0.08, 0.51, 0.41, 0.01, 0.55, 0.56,-0.54,-0.76
 0.22, 0.40,-0.18, 0.06,-0.07,-0.17, 0.20,-0.02, 0.55, 0.13,-0.43,-0.12, 0.06, 0.08, 0.51, 0.41, 0.01, 0.55, 0.56,-0.54,-0.76
 0.22, 0.40,-0.18, 0.06,-0.07,-0.17, 0.19,-0.01, 0.57, 0.13,-0.43,-0.12, 0.06, 0.08, 0.51, 0.41, 0.01, 0.55, 0.56,-0.54,-0.76
 0.22, 0.40,-0.18, 0.06,-0.07,-0.17, 0.19,-0.01, 0.57, 0.13,-0.43,-0.12, 0.06, 0.08, 0.51, 0.42, 0.02, 0.55, 0.56,-0.54,-0.76
 0.20, 0.40,-0.17, 0.06,-0.07,-0.17, 0.19,-0.01, 0.57, 0.13,-0.43,-0.12, 0.06, 0.08, 0.51, 0.42, 0.02, 0.55, 0.56,-0.54,-0.76
 0.20, 0.40,-0.17, 0.06,-0.07,-0.17, 0.19,-0.01, 0.57, 0.13,-0.43,-0.12, 0.06, 0.08, 0.51, 0.42, 0.02, 0.55, 0.59,-0.55,-0.76
 0.20, 0.40,-0.17, 0.06,-0.07,-0.17, 0.19,-0.01, 0.57, 0.13,-0.43,-0.12, 0.08, 0.09, 0.51, 0.42, 0.02, 0.55, 0.59,-0.55,-0.76
 0.20, 0.40,-0.17, 0.06,-0.07,-0.17, 0.19,-0.01, 0.57, 0.13,-0.43,-0.12, 0.08, 0.09, 0.51, 0.42, 0.02, 0.55, 0.59,-0.55,-0.76
 0.20, 0.40,-0.17, 0.06,-0.07,-0.17, 0.19,-0.01, 0.57, 0.12,-0.44,-0.13, 0.08, 0.09, 0.51, 0.42, 0.02, 0.55, 0.59,-0.55,-0.76
 0.20, 0.40,-0.17, 0.04,-0.06,-0.18, 0.19,-0.01, 0.57, 0.12,-0.44,-0.13, 0.08, 0.09, 0.51, 0.42, 0.02, 0.55, 0.59,-0.55,-0.76
 0.20, 0.40,-0.17, 0.04,-0.06,-0.18, 0.19,-0.01, 0.57, 0.12,-0.44,-0.13, 0.08, 0.09, 0.51, 0.43, 0.02, 0.55, 0.59,-0.55,-0.76
 0.18, 0.39,-0.17, 0.04,-0.06,-0.18, 0.19,-0.01, 0.57, 0.12,-0.44,-0.13, 0.08, 0.09, 0.51, 0.43, 0.02, 0.55, 0.59,-0.55,-0.76
 0.18, 0.39,-0.17, 0.04,-0.06,-0.18, 0.19,-0.01, 0.57, 0.12,-0.44,-0.13, 0.08, 0.09, 0.51, 0.43, 0.02, 0.55, 0.64,-0.56,-0.76
 0.18, 0.39,-0.17, 0.04,-0.06,-0.18, 0.19,-0.01, 0.57, 0.12,-0.44,-0.13, 0.08, 0.10, 0.52, 0.43, 0.02, 0.55, 0.64,-0.56,-0.76
 0.18, 0.39,-0.17, 0.04,-0.06,-0.18, 0.19,-0.01, 0.57, 0.13,-0.44,-0.13, 0.08, 0.10, 0.52, 0.43, 0.02, 0.55, 0.64,-0.56,-0.76
 0.18, 0.39,-0.17, 0.04,-0.05,-0.17, 0.19,-0.01, 0.57, 0.13,-0.44,-0.13, 0.08, 0.10, 0.52, 0.43, 0.02, 0.55, 0.64,-0.56,-0.76
 0.18, 0.39,-0.17, 0.04,-0.05,-0.17, 0.21, 0.01, 0.56, 0.13,-0.44,-0.13, 0.08, 0.10, 0.52, 0.43, 0.02, 0.55, 0.64,-0.56,-0.76
 0.18, 0.39,-0.17, 0.04,-0.05,-0.17, 0.21, 0.01, 0.56, 0.13,-0.44,-0.13, 0.08, 0.10, 0.52, 0.43, 0.01, 0.55, 0.64,-0.56,-0.76
 0.17, 0.40,-0.17, 0.04,-0.05,-0.17, 0.21, 0.01, 0.56, 0.13,-0.44,-0.13, 0.08, 0.10, 0.52, 0.43, 0.01, 0.55, 0.64,-0.56,-0.76
 0.17, 0.40,-0.17, 0.04,-0.05,-0.17, 0.21, 0.01, 0.56, 0.13,-0.44,-0.13, 0.08, 0.10, 0.52, 0.43, 0.01, 0.55, 0.61,-0.56,-0.76
 0.17, 0.40,-0.17, 0.04,-0.05,-0.17, 0.21, 0.01, 0.56, 0.13,-0.44,-0.13, 0.08, 0.10, 0.52, 0.43, 0.01, 0.55, 0.61,-0.56,-0.76
 0.17, 0.40,-0.17, 0.04,-0.05,-0.17, 0.21, 0.01, 0.56, 0.13,-0.44,-0.13, 0.08, 0.09, 0.52, 0.43, 0.01, 0.55, 0.61,-0.56,-0.76
 0.17, 0.40,-0.17, 0.04,-0.05,-0.17, 0.21, 0.01, 0.56, 0.16,-0.45,-0.12, 0.08, 0.09, 0.52, 0.43, 0.01, 0.55, 0.61,-0.56,-0.76
 0.17, 0.40,-0.17, 0.04,-0.08,-0.17, 0.21, 0.01, 0.56, 0.16,-0.45,-0.12, 0.08, 0.09, 0.52, 0.43, 0.01, 0.55, 0.61,-0.56,-0.76
 0.17, 0.40,-0.17, 0.04,-0.08,-0.17, 0.24, 0.02, 0.56, 0.16,-0.45,-0.12, 0.08, 0.09, 0.52, 0.43, 0.01, 0.55, 0.61,-0.56,-0.76
 0.17, 0.40,-0.17, 0.04,-0.08,-0.17, 0.24, 0.02, 0.56, 0.16,-0.45,-0.12, 0.08, 0.09, 0.52, 0.44, 0.01, 0.54, 0.61,-0.56,-0.76
 0.16, 0.41,-0.17, 0.04,-0.08,-0.17, 0.24, 0.02, 0.56, 0.16,-0.45,-0.12, 0.08, 0.09, 0.52, 0.44, 0.01, 0.54, 0.61,-0.56,-0.76
 0.16, 0.41,-0.17, 0.04,-0.08,-0.17, 0.24, 0.02, 0.56, 0.16,-0.45,-0.12, 0.08, 0.09, 0.52, 0.44, 0.01, 0.54, 0.62,-0.56,-0.76
 0.16, 0.41,-0.17, 0.04,-0.08,-0.17, 0.24, 0.02, 0.56, 0.16,-0.45,-0.12, 0.11, 0.06, 0.51, 0.44, 0.01, 0.54, 0.62,-0.56,-0.76
 0.16, 0.41,-0.17, 0.04,-0.08,-0.17, 0.24, 0.02, 0.56, 0.18,-0.45,-0.12, 0.11, 0.06, 0.51, 0.44, 0.01, 0.54, 0.62,-0.56,-0.76
 0.16, 0.41,-0.17, 0.06,-0.11,-0.17, 0.24, 0.02, 0.56, 0.18,-0.45,-0.12, 0.11, 0.06, 0.51, 0.44, 0.01, 0.54, 0.62,-0.56,-0.76
 0.16, 0.41,-0.17, 0.06,-0.11,-0.17, 0.21, 0.04, 0.55, 0.18,-0.45,-0.12, 0.11, 0.06, 0.51, 0.44, 0.01, 0.54, 0.62,-0.56,-0.76
 0.16, 0.41,-0.17, 0.06,-0.11,-0.17, 0.21, 0.04, 0.55, 0.18,-0.45,-0.12, 0.11, 0.06, 0.51, 0.43, 0.03, 0.54, 0.62,-0.56,-0.76
 0.18, 0.41,-0.16, 0.06,-0.11,-0.17, 0.21, 0.04, 0.55, 0.18,-0.45,-0.12, 0.11, 0.06, 0.51, 0.43, 0.03, 0.54, 0.62,-0.56,-0.76
 0.18, 0.41,-0.16, 0.06,-0.11,-0.17, 0.21, 0.04, 0.55, 0.18,-0.45,-0.12, 0.11, 0.06, 0.51, 0.43, 0.03, 0.54, 0.62,-0.56,-0.76
 0.18, 0.41,-0.16, 0.06,-0.11,-0.17, 0.21, 0.04, 0.55, 0.18,-0.45,-0.12, 0.11, 0.06, 0.51, 0.43, 0.03, 0.54, 0.65,-0.55,-0.76
 0.18, 0.41,-0.16, 0.06,-0.11,-0.17, 0.21, 0.04, 0.55, 0.18,-0.45,-0.12, 0.12, 0.05, 0.50, 0.43, 0.03, 0.54, 0.65,-0.55,-0.76
 0.18, 0.41,-0.16, 0.06,-0.11,-0.17, 0.21, 0.04, 0.55, 0.18,-0.43,-0.12, 0.12, 0.05, 0.50, 0.43, 0.03, 0.54, 0.65,-0.55,-0.76
