Cadera_ps,Cadera_fex,Cadera_adab,MusloDerecho_ps,MusloDerecho_fex,MusloDerecho_adab,EspinilleraDerecha_ps,EspinilleraDerecha_fex,EspinilleraDerecha_adab,PieDerecha_ps,PieDerecha_fex,PieDerecha_adab,MusloIzquierdo_ps,MusloIzquierdo_fex,MusloIzquierdo_adab,EspinilleraIzquierda_ps,EspinilleraIzquierda_fex,EspinilleraIzquierda_adab,PieIzquierdo_ps,PieIzquierdo_fex,PieIzquierdo_adab
 0.89, 0.75,-0.31, 0.12,-0.78,-0.44, 0.85,-0.05, 0.84, 0.14, 0.18,-0.05, 0.08,-1.10, 0.43, 1.27, 0.55, 0.55, 0.81,-0.18,-0.85
 0.89, 0.75,-0.31, 0.12,-0.78,-0.44, 0.85,-0.05, 0.84, 0.14, 0.18,-0.05, 0.08,-1.10, 0.43, 1.27, 0.55, 0.55, 0.81,-0.18,-0.85
 0.89, 0.75,-0.31, 0.12,-0.78,-0.44, 0.85,-0.05, 0.84, 0.14, 0.18,-0.05, 0.05,-1.18, 0.42, 1.27, 0.55, 0.55, 0.81,-0.18,-0.85
 0.89, 0.75,-0.31, 0.12,-0.78,-0.44, 0.85,-0.05, 0.84, 0.14, 0.18,-0.05, 0.05,-1.18, 0.42, 1.27, 0.55, 0.55, 0.81,-0.18,-0.85
 0.89, 0.75,-0.31, 0.12,-0.78,-0.44, 0.85,-0.05, 0.84, 0.15, 0.18,-0.03, 0.05,-1.18, 0.42, 1.27, 0.55, 0.55, 0.81,-0.18,-0.85
 0.89, 0.75,-0.31, 0.12,-0.78,-0.44, 0.85,-0.05, 0.84, 0.15, 0.18,-0.03, 0.05,-1.18, 0.42, 1.27, 0.55, 0.55, 0.81,-0.18,-0.85
 0.89, 0.75,-0.31, 0.07,-0.80,-0.43, 0.85,-0.05, 0.84, 0.15, 0.18,-0.03, 0.05,-1.18, 0.42, 1.27, 0.55, 0.55, 0.81,-0.18,-0.85
 0.89, 0.75,-0.31, 0.07,-0.80,-0.43, 0.85,-0.05, 0.84, 0.15, 0.18,-0.03, 0.05,-1.18, 0.42, 1.27, 0.55, 0.55, 0.81,-0.18,-0.85
 0.89, 0.75,-0.31, 0.07,-0.80,-0.43, 0.85, 0.02, 0.82, 0.15, 0.18,-0.03, 0.05,-1.18, 0.42, 1.27, 0.55, 0.55, 0.81,-0.18,-0.85
 0.89, 0.75,-0.31, 0.07,-0.80,-0.43, 0.85, 0.02, 0.82, 0.15, 0.18,-0.03, 0.05,-1.18, 0.42, 1.27, 0.55, 0.55, 0.81,-0.18,-0.85
 0.94, 0.73,-0.32, 0.07,-0.80,-0.43, 0.85, 0.02, 0.82, 0.15, 0.18,-0.03, 0.05,-1.18, 0.42, 1.27, 0.55, 0.55, 0.81,-0.18,-0.85
 0.94, 0.73,-0.32, 0.07,-0.80,-0.43, 0.85, 0.02, 0.82, 0.15, 0.18,-0.03, 0.05,-1.18, 0.42, 1.27, 0.55, 0.55, 0.83,-0.25,-0.89
 0.94, 0.73,-0.32, 0.07,-0.80,-0.43, 0.85, 0.02, 0.82, 0.15, 0.18,-0.03, 0.06,-1.25, 0.41, 1.27, 0.55, 0.55, 0.83,-0.25,-0.89
 0.94, 0.73,-0.32, 0.07,-0.80,-0.43, 0.85, 0.02, 0.82, 0.11, 0.15,-0.01, 0.06,-1.25, 0.41, 1.27, 0.55, 0.55, 0.83,-0.25,-0.89
 0.94, 0.73,-0.32, 0.04,-0.85,-0.42, 0.85, 0.02, 0.82, 0.11, 0.15,-0.01, 0.06,-1.25, 0.41, 1.27, 0.55, 0.55, 0.83,-0.25,-0.89
 0.94, 0.73,-0.32, 0.04,-0.85,-0.42, 0.81, 0.12, 0.81, 0.11, 0.15,-0.01, 0.06,-1.25, 0.41, 1.27, 0.55, 0.55, 0.83,-0.25,-0.89
 1.00, 0.71,-0.32, 0.04,-0.85,-0.42, 0.81, 0.12, 0.81, 0.11, 0.15,-0.01, 0.06,-1.25, 0.41, 1.27, 0.55, 0.55, 0.83,-0.25,-0.89
 1.00, 0.71,-0.32, 0.04,-0.85,-0.42, 0.81, 0.12, 0.81, 0.11, 0.15,-0.01, 0.06,-1.25, 0.41, 1.27, 0.55, 0.55, 0.86,-0.26,-0.90
 1.00, 0.71,-0.32, 0.04,-0.85,-0.42, 0.81, 0.12, 0.81, 0.11, 0.15,-0.01, 0.06,-1.25, 0.41, 1.37, 0.92, 0.68, 0.86,-0.26,-0.90
 1.00, 0.71,-0.32, 0.04,-0.85,-0.42, 0.81, 0.12, 0.81, 0.11, 0.15,-0.01, 0.09,-1.35, 0.37, 1.37, 0.92, 0.68, 0.86,-0.26,-0.90
 1.00, 0.71,-0.32, 0.04,-0.85,-0.42, 0.81, 0.12, 0.81, 0.14, 0.12,-0.00, 0.09,-1.35, 0.37, 1.37, 0.92, 0.68, 0.86,-0.26,-0.90
 1.00, 0.71,-0.32, 0.06,-0.89,-0.42, 0.81, 0.12, 0.81, 0.14, 0.12,-0.00, 0.09,-1.35, 0.37, 1.37, 0.92, 0.68, 0.86,-0.26,-0.90
 1.00, 0.71,-0.32, 0.06,-0.89,-0.42, 0.83, 0.24, 0.80, 0.14, 0.12,-0.00, 0.09,-1.35, 0.37, 1.37, 0.92, 0.68, 0.86,-0.26,-0.90
 1.05, 0.68,-0.32, 0.06,-0.89,-0.42, 0.83, 0.24, 0.80, 0.14, 0.12,-0.00, 0.09,-1.35, 0.37, 1.37, 0.92, 0.68, 0.86,-0.26,-0.90
 1.05, 0.68,-0.32, 0.06,-0.89,-0.42, 0.83, 0.24, 0.80, 0.14, 0.12,-0.00, 0.09,-1.35, 0.37, 1.37, 0.92, 0.68, 0.90,-0.43,-1.00
 1.05, 0.68,-0.32, 0.06,-0.89,-0.42, 0.83, 0.24, 0.80, 0.14, 0.12,-0.00, 0.09,-1.35, 0.37, 1.49, 1.18, 0.75, 0.90,-0.43,-1.00
 1.05, 0.68,-0.32, 0.06,-0.89,-0.42, 0.83, 0.24, 0.80, 0.14, 0.12,-0.00, 0.14,-1.52, 0.34, 1.49, 1.18, 0.75, 0.90,-0.43,-1.00
 1.05, 0.68,-0.32, 0.06,-0.89,-0.42, 0.83, 0.24, 0.80, 0.12, 0.07, 0.03, 0.14,-1.52, 0.34, 1.49, 1.18, 0.75, 0.90,-0.43,-1.00
 1.05, 0.68,-0.32, 0.15,-0.93,-0.42, 0.83, 0.24, 0.80, 0.12, 0.07, 0.03, 0.14,-1.52, 0.34, 1.49, 1.18, 0.75, 0.90,-0.43,-1.00
 1.05, 0.68,-0.32, 0.15,-0.93,-0.42, 0.82, 0.39, 0.79, 0.12, 0.07, 0.03, 0.14,-1.52, 0.34, 1.49, 1.18, 0.75, 0.90,-0.43,-1.00
 1.12, 0.67,-0.36, 0.15,-0.93,-0.42, 0.82, 0.39, 0.79, 0.12, 0.07, 0.03, 0.14,-1.52, 0.34, 1.49, 1.18, 0.75, 0.90,-0.43,-1.00
 1.12, 0.67,-0.36, 0.15,-0.93,-0.42, 0.82, 0.39, 0.79, 0.12, 0.07, 0.03, 0.14,-1.52, 0.34, 1.49, 1.18, 0.75, 0.92,-0.57,-1.08
 1.12, 0.67,-0.36, 0.15,-0.93,-0.42, 0.82, 0.39, 0.79, 0.12, 0.07, 0.03, 0.14,-1.52, 0.34, 1.62, 1.56, 0.87, 0.92,-0.57,-1.08
 1.12, 0.67,-0.36, 0.15,-0.93,-0.42, 0.82, 0.39, 0.79, 0.12, 0.07, 0.03, 0.14,-1.52, 0.34, 1.62, 1.56, 0.87, 0.92,-0.57,-1.08
 1.12, 0.67,-0.36, 0.15,-0.93,-0.42, 0.82, 0.39, 0.79, 0.12, 0.07, 0.03, 0.15,-1.80, 0.35, 1.62, 1.56, 0.87, 0.92,-0.57,-1.08
 1.12, 0.67,-0.36, 0.15,-0.93,-0.42, 0.82, 0.39, 0.79, 0.08,-0.02, 0.09, 0.15,-1.80, 0.35, 1.62, 1.56, 0.87, 0.92,-0.57,-1.08
