Cadera_ps,Cadera_fex,Cadera_adab,MusloDerecho_ps,MusloDerecho_fex,MusloDerecho_adab,EspinilleraDerecha_ps,EspinilleraDerecha_fex,EspinilleraDerecha_adab,PieDerecha_ps,PieDerecha_fex,PieDerecha_adab,MusloIzquierdo_ps,MusloIzquierdo_fex,MusloIzquierdo_adab,EspinilleraIzquierda_ps,EspinilleraIzquierda_fex,EspinilleraIzquierda_adab,PieIzquierdo_ps,PieIzquierdo_fex,PieIzquierdo_adab
 1.24, 0.31,-0.85, 0.49,-0.80, 0.17, 0.71, 1.11, 0.72, 0.81,-0.63, 0.44, 0.86,-3.04,-0.68, 1.84, 3.63, 2.69, 0.26,-1.17,-1.15
 1.24, 0.31,-0.85, 0.41,-0.82, 0.10, 0.71, 1.11, 0.72, 0.81,-0.63, 0.44, 0.86,-3.04,-0.68, 1.84, 3.63, 2.69, 0.26,-1.17,-1.15
 1.24, 0.31,-0.85, 0.41,-0.82, 0.10, 0.71, 1.11, 0.72, 0.81,-0.63, 0.44, 0.86,-3.04,-0.68, 1.84, 3.63, 2.69, 0.36,-1.21,-1.09
 1.24, 0.31,-0.85, 0.41,-0.82, 0.10, 0.71, 1.11, 0.72, 0.82,-0.54, 0.43, 0.86,-3.04,-0.68, 1.84, 3.63, 2.69, 0.36,-1.21,-1.09
 1.36, 0.39,-0.85, 0.41,-0.82, 0.10, 0.71, 1.11, 0.72, 0.82,-0.54, 0.43, 0.86,-3.04,-0.68, 1.84, 3.63, 2.69, 0.36,-1.21,-1.09
 1.36, 0.39,-0.85, 0.41,-0.82, 0.10, 0.71, 1.11, 0.72, 0.82,-0.54, 0.43, 0.86,-3.04,-0.68, 2.11, 3.87, 2.74, 0.36,-1.21,-1.09
 1.36, 0.39,-0.85, 0.41,-0.82, 0.10, 0.71, 1.11, 0.72, 0.82,-0.54, 0.43, 0.94,-3.34,-0.73, 2.11, 3.87, 2.74, 0.36,-1.21,-1.09
 1.36, 0.39,-0.85, 0.41,-0.82, 0.10, 0.67, 0.98, 0.78, 0.82,-0.54, 0.43, 0.94,-3.34,-0.73, 2.11, 3.87, 2.74, 0.36,-1.21,-1.09
 1.36, 0.39,-0.85, 0.34,-0.89, 0.04, 0.67, 0.98, 0.78, 0.82,-0.54, 0.43, 0.94,-3.34,-0.73, 2.11, 3.87, 2.74, 0.36,-1.21,-1.09
 1.36, 0.39,-0.85, 0.34,-0.89, 0.04, 0.67, 0.98, 0.78, 0.82,-0.54, 0.43, 0.94,-3.34,-0.73, 2.11, 3.87, 2.74, 0.56,-1.30,-0.99
 1.36, 0.39,-0.85, 0.34,-0.89, 0.04, 0.67, 0.98, 0.78, 0.86,-0.42, 0.42, 0.94,-3.34,-0.73, 2.11, 3.87, 2.74, 0.56,-1.30,-0.99
 1.47, 0.54,-0.85, 0.34,-0.89, 0.04, 0.67, 0.98, 0.78, 0.86,-0.42, 0.42, 0.94,-3.34,-0.73, 2.11, 3.87, 2.74, 0.56,-1.30,-0.99
 1.47, 0.54,-0.85, 0.34,-0.89, 0.04, 0.67, 0.98, 0.78, 0.86,-0.42, 0.42, 0.94,-3.34,-0.73, 2.31, 4.03, 2.77, 0.56,-1.30,-0.99
 1.47, 0.54,-0.85, 0.34,-0.89, 0.04, 0.67, 0.98, 0.78, 0.86,-0.42, 0.42, 0.96,-3.64,-0.75, 2.31, 4.03, 2.77, 0.56,-1.30,-0.99
 1.47, 0.54,-0.85, 0.34,-0.89, 0.04, 0.66, 0.84, 0.82, 0.86,-0.42, 0.42, 0.96,-3.64,-0.75, 2.31, 4.03, 2.77, 0.56,-1.30,-0.99
 1.47, 0.54,-0.85, 0.28,-1.02,-0.02, 0.66, 0.84, 0.82, 0.86,-0.42, 0.42, 0.96,-3.64,-0.75, 2.31, 4.03, 2.77, 0.56,-1.30,-0.99
 1.47, 0.54,-0.85, 0.28,-1.02,-0.02, 0.66, 0.84, 0.82, 0.86,-0.42, 0.42, 0.96,-3.64,-0.75, 2.31, 4.03, 2.77, 0.66,-1.35,-0.86
 1.47, 0.54,-0.85, 0.28,-1.02,-0.02, 0.66, 0.84, 0.82, 0.93,-0.30, 0.42, 0.96,-3.64,-0.75, 2.31, 4.03, 2.77, 0.66,-1.35,-0.86
 1.61, 0.73,-0.85, 0.28,-1.02,-0.02, 0.66, 0.84, 0.82, 0.93,-0.30, 0.42, 0.96,-3.64,-0.75, 2.31, 4.03, 2.77, 0.66,-1.35,-0.86
 1.61, 0.73,-0.85, 0.28,-1.02,-0.02, 0.66, 0.84, 0.82, 0.93,-0.30, 0.42, 0.96,-3.64,-0.75, 2.43, 4.10, 2.76, 0.66,-1.35,-0.86
 1.61, 0.73,-0.85, 0.28,-1.02,-0.02, 0.66, 0.84, 0.82, 0.93,-0.30, 0.42, 0.90,-3.98,-0.77, 2.43, 4.10, 2.76, 0.66,-1.35,-0.86
 1.61, 0.73,-0.85, 0.28,-1.02,-0.02, 0.64, 0.66, 0.85, 0.93,-0.30, 0.42, 0.90,-3.98,-0.77, 2.43, 4.10, 2.76, 0.66,-1.35,-0.86
 1.61, 0.73,-0.85, 0.24,-1.17,-0.09, 0.64, 0.66, 0.85, 0.93,-0.30, 0.42, 0.90,-3.98,-0.77, 2.43, 4.10, 2.76, 0.66,-1.35,-0.86
 1.61, 0.73,-0.85, 0.24,-1.17,-0.09, 0.64, 0.66, 0.85, 0.93,-0.30, 0.42, 0.90,-3.98,-0.77, 2.43, 4.10, 2.76, 0.72,-1.35,-0.72
 1.61, 0.73,-0.85, 0.24,-1.17,-0.09, 0.64, 0.66, 0.85, 0.93,-0.30, 0.42, 0.90,-3.98,-0.77, 2.43, 4.10, 2.76, 0.72,-1.35,-0.72
 1.61, 0.73,-0.85, 0.24,-1.17,-0.09, 0.64, 0.66, 0.85, 0.98,-0.14, 0.43, 0.90,-3.98,-0.77, 2.43, 4.10, 2.76, 0.72,-1.35,-0.72
 1.76, 0.97,-0.84, 0.24,-1.17,-0.09, 0.64, 0.66, 0.85, 0.98,-0.14, 0.43, 0.90,-3.98,-0.77, 2.43, 4.10, 2.76, 0.72,-1.35,-0.72
