Cadera_ps,Cadera_fex,Cadera_adab,MusloDerecho_ps,MusloDerecho_fex,MusloDerecho_adab,EspinilleraDerecha_ps,EspinilleraDerecha_fex,EspinilleraDerecha_adab,PieDerecha_ps,PieDerecha_fex,PieDerecha_adab,MusloIzquierdo_ps,MusloIzquierdo_fex,MusloIzquierdo_adab,EspinilleraIzquierda_ps,EspinilleraIzquierda_fex,EspinilleraIzquierda_adab,PieIzquierdo_ps,PieIzquierdo_fex,PieIzquierdo_adab
 0.18,-0.65,-0.03, 1.01,-0.14,-0.42, 0.59, 1.12, 0.46, 1.39,-0.26, 0.37, 1.48, 0.18,-0.06, 0.17, 0.35, 0.26, 0.48, 0.15, 0.47
 0.18,-0.65,-0.03, 1.01,-0.14,-0.42, 0.59, 1.12, 0.46, 1.39,-0.26, 0.37, 1.48, 0.18,-0.06, 0.17, 0.35, 0.26, 0.48, 0.15, 0.47
 0.18,-0.65,-0.03, 1.01,-0.14,-0.42, 0.59, 1.12, 0.46, 1.43,-0.28, 0.38, 1.48, 0.18,-0.06, 0.17, 0.35, 0.26, 0.48, 0.15, 0.47
 0.18,-0.65,-0.03, 1.01,-0.14,-0.42, 0.63, 1.12, 0.46, 1.43,-0.28, 0.38, 1.48, 0.18,-0.06, 0.17, 0.35, 0.26, 0.48, 0.15, 0.47
 0.13,-0.67,-0.03, 1.01,-0.14,-0.42, 0.63, 1.12, 0.46, 1.43,-0.28, 0.38, 1.48, 0.18,-0.06, 0.17, 0.35, 0.26, 0.48, 0.15, 0.47
 0.13,-0.67,-0.03, 0.99,-0.14,-0.41, 0.63, 1.12, 0.46, 1.43,-0.28, 0.38, 1.48, 0.18,-0.06, 0.17, 0.35, 0.26, 0.48, 0.15, 0.47
 0.13,-0.67,-0.03, 0.99,-0.14,-0.41, 0.63, 1.12, 0.46, 1.43,-0.28, 0.38, 1.48, 0.18,-0.06, 0.17, 0.35, 0.26, 0.46, 0.14, 0.45
 0.13,-0.67,-0.03, 0.99,-0.14,-0.41, 0.63, 1.12, 0.46, 1.43,-0.28, 0.38, 1.45, 0.23,-0.04, 0.17, 0.35, 0.26, 0.46, 0.14, 0.45
 0.13,-0.67,-0.03, 0.99,-0.14,-0.41, 0.63, 1.12, 0.46, 1.43,-0.28, 0.38, 1.45, 0.23,-0.04, 0.12, 0.32, 0.27, 0.46, 0.14, 0.45
 0.13,-0.67,-0.03, 0.99,-0.14,-0.41, 0.63, 1.12, 0.46, 1.47,-0.29, 0.39, 1.45, 0.23,-0.04, 0.12, 0.32, 0.27, 0.46, 0.14, 0.45
 0.13,-0.67,-0.03, 0.99,-0.14,-0.41, 0.66, 1.15, 0.46, 1.47,-0.29, 0.39, 1.45, 0.23,-0.04, 0.12, 0.32, 0.27, 0.46, 0.14, 0.45
 0.05,-0.67,-0.03, 0.99,-0.14,-0.41, 0.66, 1.15, 0.46, 1.47,-0.29, 0.39, 1.45, 0.23,-0.04, 0.12, 0.32, 0.27, 0.46, 0.14, 0.45
 0.05,-0.67,-0.03, 0.99,-0.14,-0.41, 0.66, 1.15, 0.46, 1.47,-0.29, 0.39, 1.45, 0.23,-0.04, 0.12, 0.32, 0.27, 0.46, 0.14, 0.45
 0.05,-0.67,-0.03, 0.97,-0.16,-0.41, 0.66, 1.15, 0.46, 1.47,-0.29, 0.39, 1.45, 0.23,-0.04, 0.12, 0.32, 0.27, 0.46, 0.14, 0.45
 0.05,-0.67,-0.03, 0.97,-0.16,-0.41, 0.66, 1.15, 0.46, 1.47,-0.29, 0.39, 1.45, 0.23,-0.04, 0.12, 0.32, 0.27, 0.43, 0.13, 0.43
 0.05,-0.67,-0.03, 0.97,-0.16,-0.41, 0.66, 1.15, 0.46, 1.47,-0.29, 0.39, 1.45, 0.23,-0.04, 0.12, 0.32, 0.27, 0.43, 0.13, 0.43
 0.05,-0.67,-0.03, 0.97,-0.16,-0.41, 0.66, 1.15, 0.46, 1.47,-0.29, 0.39, 1.47, 0.26,-0.02, 0.12, 0.32, 0.27, 0.43, 0.13, 0.43
